survey_id,species_name,scientific_name,family,iucn_status,count
1009,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1009,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1009,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1110,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1110,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1110,Pijantung Kecil,Arachnothera longirostra,NA,Least concern,2
1110,Walet Linci,Collocalia linchi,NA,Least concern,1
1212,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1212,Cinenen Pisang,Orthotomus sutorius,NA,Least concern,1
1212,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1212,Elang Ular Bido,Spilornis cheela,NA,Least concern,1
1212,Pelanduk Semak,Malacocincla sepiaria,NA,Least concern,1
1212,Sepah Hutan,Pericrocotus flammeus,NA,Least concern,1
1212,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1212,Takur Tulung Tumpuk,Psilopogon javensis,NA,Least concern,1
1329,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1329,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1329,Cucak Kutilang,Pycnonotus aurigaster,NA,Least concern,1
1329,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1329,Paok Pancawarna,Hydrornis guajanus,NA,Least concern,1
1329,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1329,Takur Tulung Tumpuk,Psilopogon javensis,NA,Least concern,1
1329,Wiwik Kelabu,Cacomantis merulinus,NA,Least concern,1
1446,Burung Madu Kelapa,Anthreptes malacensis,NA,Least concern,1
1446,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1446,Cinenen Pisang,Orthotomus sutorius,NA,Least concern,1
1446,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1446,Cucak Kuning,Rubigula dispar,NA,Vulnerable,1
1446,Cucak Kutilang,Pycnonotus aurigaster,NA,Least concern,1
1446,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1446,Pelanduk Topi Jawa,Pellorneum capistratum,NA,Least concern,1
1446,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1446,Takur Tulung Tumpuk,Psilopogon javensis,NA,Least concern,1
1446,Tepekong Jambul,Hemiprocne longipennis,NA,Least concern,1
1446,Walet Linci,Collocalia linchi,NA,Least concern,1
1213,Lutung Jawa,Trachypithecus auratus,NA,Vulnerable,1
1010,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1010,Jingjing Batu,Hemipus hirundinaceus,NA,Least concern,1
1010,Kadalan Birah,Phaenicophaeus curvirostris,NA,Least concern,1
